"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"IC6";"DIP-16_W7.62mm_Socket_LongPads";1;"74174N";;;
2;"OSHW_Mono_0.25_Scale";"OSHW_Mono_0.25_Scale";1;"UK000006";;;
3;"REF**";"MD-rosco_m68k_logo";1;"MD-rosco_m68k_logo";;;
4;"REF**";"SM-rosco_m68k_logo";1;"SM-rosco_m68k_logo";;;
5;"REF**";"LG-rosco_m68k_logo_rotated";1;"LG-rosco_m68k_logo_rotated";;;
6;"U5";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS93";;;
7;"IC9";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS01N";;;
8;"C27,C13,C26,C25,C24,C23,C22,C20,C12,C9,C8,C7,C11,C3,C4,C5,C6";"C2.5-3";17;"100nF";;;
9;"R21,R9,R8,R3,R18,R17,R10,R15,R16,R4,R5,R6,R7";"0207_10";13;"4K7";;;
10;"U1,U2";"DIP-28_W15.24mm_LongPads";2;"AT28C256-15PU";;;
11;"IC3,IC2,IC5";"DIL20";3;"ATF16V8BQL-15PU";;;
12;"J3";"PinHeader_2x32_P2.54mm_Vertical";1;"Conn_02x32_Odd_Even";;;
13;"IC1";"DIL64";1;"MC68010P10";;;
14;"LED1,LED3";"LED5MM";2;"GREEN";;;
15;"Q2";"Oscillator_DIP-8";1;"5H8ET-10.000";;;
16;"Q3";"Oscillator_DIP-8";1;"5H8ET-4.000";;;
17;"IC4";"DIL48";1;"MC68901P";;;
18;"J2";"1X06";1;"Conn_01x06";;;
19;"U4,U3";"DIP-32_W15.24mm_LongPads";2;"AS6C4008-55PCN";;;
20;"R2,R1,R14,R13";"0207_10";4;"330R";;;
21;"Q1";"HC49_S";1;"3.6864MHz";;;
22;"LED2,LED4";"LED5MM";2;"RED";;;
23;"JP1";"1X02";1;"FTDI POWER";;;
24;"J1";"1X02";1;"PWR";;;
25;"IC8";"DIP-8_W7.62mm_LongPads";1;"555N";;;
26;"C21";"E3,5-10";1;"470uF";;;
27;"C19,C18,C17,C16,C15,C14,C10";"E2,5-5";7;"100uF";;;
28;"C2,C1";"C2.5-3";2;"33pF";;;
29;"J5";"PinHeader_2x08_P2.54mm_Vertical";1;"GPIO-PANEL";;;
30;"R19";"0207_10";1;"10K";;;
31;"S1";"B3F-10XX";1;"10-XX";;;
32;"H4,H3,H2,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
33;"R11";"0207_10";1;"2K2";;;
34;"R12";"0207_10";1;"270R";;;
