Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,7pF,C_0603_1608Metric,188.976,-134.874,270.0,bottom
C2,7pF,C_0603_1608Metric,197.43,-134.91,270.0,bottom
C3,100nF,C_0603_1608Metric,98.4,-112.19,0.0,bottom
C4,100nF,C_0603_1608Metric,121.666,-112.014,0.0,bottom
C5,100nF,C_0603_1608Metric,147.066,-111.76,0.0,bottom
C6,100nF,C_0603_1608Metric,201.07,-132.81,90.0,bottom
C7,100nF,C_0603_1608Metric,137.72,-94.24,270.0,bottom
C8,100nF,C_0603_1608Metric,113.593,-92.536,270.0,bottom
C9,100nF,C_0603_1608Metric,159.8,-107.289,270.0,bottom
C10,100nF,C_0603_1608Metric,170.942,-111.76,0.0,bottom
C12,100nF,C_0603_1608Metric,120.23,-59.08,0.0,bottom
C13,100nF,C_0603_1608Metric,220.69,-86.34,0.0,bottom
C22,100nF,C_0603_1608Metric,178.918,-128.692,90.0,bottom
C24,100nF,C_0603_1608Metric,190.09,-59.04,0.0,bottom
C25,100nF,C_0603_1608Metric,201.55,-58.34,0.0,bottom
C26,100nF,C_0603_1608Metric,124.75,-106.1,90.0,bottom
C27,100nF,C_0603_1608Metric,204.07,-121.46,270.0,bottom
C28,100nF,C_0603_1608Metric,202.725,-104.952,0.0,bottom
C29,100nF,C_0603_1608Metric,122.615,-82.37,0.0,bottom
C30,100nF,C_0603_1608Metric,213.015,-78.72,180.0,bottom
C31,100nF,C_0603_1608Metric,178.23,-58.31,0.0,bottom
C32,100nF,C_0603_1608Metric,87.376,-93.726,180.0,bottom
J10,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_Palconn_UTC16-G,222.99,-140.01,270.0,bottom
R1,1K,R_0603_1608Metric,189.6,-146.13,180.0,bottom
R2,1K,R_0603_1608Metric,198.03,-146.1,180.0,bottom
R3,4K7,R_0603_1608Metric,133.54,-98.14,270.0,bottom
R4,5.1K,R_0603_1608Metric,214.91,-143.59,270.0,bottom
R5,5.1K,R_0603_1608Metric,212.81,-143.545,90.0,bottom
R7,4K7,R_0603_1608Metric,107.48,-79.1,0.0,bottom
R8,4K7,R_0603_1608Metric,130.71,-104.35,0.0,bottom
R9,4K7,R_0603_1608Metric,104.58,-78.51,90.0,bottom
R10,4K7,R_0603_1608Metric,130.16,-78.18,90.0,bottom
R11,10K,R_0603_1608Metric,102.65,-108.64,180.0,bottom
R12,4K7,R_0603_1608Metric,101.79,-77.9,180.0,bottom
R13,1K,R_0603_1608Metric,211.58,-63.79,270.0,bottom
R14,1K,R_0603_1608Metric,218.21,-63.77,270.0,bottom
R15,4K7,R_0603_1608Metric,98.99,-79.88,0.0,bottom
R16,4K7,R_0603_1608Metric,182.18,-118.36,270.0,bottom
R17,4K7,R_0603_1608Metric,96.0,-78.65,0.0,bottom
R18,4K7,R_0603_1608Metric,92.86,-78.77,0.0,bottom
R19,10K,R_0603_1608Metric,135.41,-91.12,90.0,bottom
R21,1K2,R_0603_1608Metric,108.65,-58.42,180.0,bottom
R27,2K2,R_0603_1608Metric,213.23,-83.38,270.0,bottom
R28,270R,R_0603_1608Metric,225.2,-77.27,90.0,bottom
R31,4K7,R_0603_1608Metric,192.55,-89.55,270.0,bottom
R32,4K7,R_0603_1608Metric,195.63,-89.43,270.0,bottom
U5,TPS22929D,SOT-23-6,216.7925,-136.65,180.0,bottom
